질문,답변,분류
1) 최종 학력 또는 전공과 관계없이 지원할 수 있나요?,"KT 에이블스쿨은 정규 4년제 대학 졸업자 및 졸업예정자를 대상으로 하는 교육입니다. 전공에 관계 없이 명시된 지원 자격에 부합한다면 모두 지원 가능합니다. 다만, AI개발자 Track은 기본적인 코딩역량이 필요합니다.",모집/선발
2) 35세 이상은 지원할 수 없나요?,"본 교육 과정은 34세 이하를 대상으로 하는 교육입니다. 단, 모집시점에 35세라도 해당연도 1월 1일 이후 생일자는 지원이 가능합니다. (예: 5기 지원 기준 1989년 1월 1일 이후 출생자)",모집/선발
3) 미취업자의 기준이 뭔가요?,"미취업자의 기준은 아래와 같습니다.1) 기간의 정함이 있는 근로인 경우,2) 고용보험에 미가입한 경우,3) 고용보험에 가입되어 있더라도 15시간/주 미만 근로인 경우단, 어떠한 경우에도 교육을 풀타임(09:00~18:00)으로 들을 수 있어야 교육 참여가 가능합니다.",모집/선발
4) 직장인도 지원할 수 있나요?,"KT 에이블스쿨은 미취업자를 대상으로 하며, 교육 시작일 기준 재직자는 지원이 불가능합니다.  향후 취업여부를 확인할 예정입니다.",모집/선발
5) 아르바이트를 하고 있는데 지원할 수 있나요?,"고용보험에 가입이 되어 있는 경우 15시간/주 미만 근로인 경우에만 미취업자로 간주하여 지원이 가능합니다.고용보험에 가입되어 있지 않는 경우에는 특수형태근로자/고용보험미가입근로자로 분류되어 근로시간과 훈련시간이 중복되지 않는다면 훈련 수강은 가능하나, 훈련장려금이 지급되지 않습니다.다만, 특수형태근로자의 경우 해촉증명서, 퇴사 사실확인증명원(사업주, 근로자 직인/서명포함)을 제출하는 경우 훈련장려금 지급이 가능하므로,고용형태 관련 세부사항은 거주지 관할 고용센터(HRD-Net 확인) 또는 훈련 권역별 고용센터로 문의하시기 바랍니다.※ 수도권: 성남고용센터충남/충북: 대전고용센터대구/경북: 대구고용센터전남/전북: 광주고용센터부산/경남: 부산고용센터- 고용노동부 대표번호 1350, 거주지 근처 지도검색, HRD-Net 메인 하단 지역별 기관검색에서 확인 가능",모집/선발
6) 사업자도 지원할 수 있나요?,"사업자는 자영업자로 분류됩니다.  자영업자의 경우 관할 고용센터에서 국민내일배움카드 발급 여부를 검토하며, 카드가 발급되어 교육을 수강하여도 훈련장려금은 지급되지 않습니다.  다만, 고용보험을 임의가입한 자영업자의 경우 훈련장려금이 지급됩니다.",모집/선발
7) 프리랜서도 지원할 수 있나요?,"고용보험에 가입하지 않은 경우 미취업자로 보지만, 프리랜서 계약의 경우 개인별 상황이 다를 수 있어서 관할 고용센터에 문의하여 확인하시기 바랍니다.※  관할 고용센터 :수도권: 성남고용센터충남/충북: 대전고용센터대구/경북: 대구고용센터전남/전북: 광주고용센터부산/경남: 부산고용센터- 고용노동부 대표번호 1350, 거주지 근처 지도검색, HRD-Net 메인 하단 지역별 기관검색에서 확인 가능",모집/선발
"8) 현재 군 복무중인 상태인데, 지원이 가능한가요?","현재 군 복무중인 상태여도 지원 가능합니다. 다만, 교육 시작 전일까지 병역의무를 마쳐야 교육 수강이 가능합니다.",모집/선발
"9) 퇴사 후 실업급여 수령 중인데, 지원할 수 있나요?","퇴사 후 고용보험 상실이 완료되어 실업급여를 수급 중인 경우, 훈련 수강에는 문제가 없습니다.  다만, 실업급여와 훈련장려금은 중복 수급이 불가하여 실업급여 지급이 종료된 후 훈련장려금 지급이 개시됩니다.",모집/선발
10) 다른 K-DT 과정을 들었는데 지원할 수 있나요?,"K-DT 교육과정은 최초 1회에 한해서만 무료 수강이 가능하며, KT 에이블스쿨은 본인 부담금이 발생하는 경우 지원이 어렵습니다.  K-DT 과정마다 차이가 있을 수 있으니 개인별 정확한 수강 가능 여부는 관할 고용센터에 확인 부탁드립니다.   관할 고용센터 정보는 고용노동부 대표번호 1350 또는 거주지 근처 지도검색, HRD-Net에서 확인 가능합니다.",모집/선발
